accuracy,perf,score_term_over_docs_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,lowering_corpus_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,count_and_lower_words_threshold_0,count_and_lower_words_decision_0,count_and_lower_words_decision_1
0.7548422619249433,8005.474399999999,16,0,0,1,0,3,1,0,0
0.5681681852719607,8567.979000000001,26,0,2,1,3,2,583,0,0
0.3395318663969751,7925.6808,15,2,2,1,1,3,3,1,0
0.618428217039386,8259.84,11,2,1,3,2,1,3,1,0
0.46483944261503585,6275.8946,17,2,2,3,1,2,50,1,1
0.7170786549963128,8004.1818,33,0,2,3,3,2,14,1,0
0.7380335845724091,5914.712799999999,29,0,0,1,2,3,5,1,1
0.7548422619249433,8061.222200000001,16,0,0,1,0,3,1,0,0
0.5681681852719607,8677.427,26,0,2,1,3,2,583,0,0
0.3395318663969751,7841.1228,15,2,2,1,1,3,3,1,0
0.618428217039386,8339.629,11,2,1,3,2,1,3,1,0
0.46483944261503585,6298.5406,17,2,2,3,1,2,50,1,1
0.7170786549963128,8094.0412000000015,33,0,2,3,3,2,14,1,0
0.7380335845724091,5903.7718,29,0,0,1,2,3,5,1,1
0.6987690873936454,7261.5144,1,1,1,3,0,0,1,0,1
0.5601091354533774,7165.5742,10,1,2,2,0,3,94,1,1
0.5126325268576974,6327.2912,31,1,0,5,3,3,5,0,1
0.7548422619249433,7803.734399999999,16,0,0,1,0,3,1,0,0
0.5681681852719607,8273.2762,26,0,2,1,3,2,583,0,0
0.3395318663969751,7644.7982,15,2,2,1,1,3,3,1,0
0.618428217039386,8967.6406,11,2,1,3,2,1,3,1,0
0.46483944261503585,6179.2012,17,2,2,3,1,2,50,1,1
0.7170786549963128,8151.4306000000015,33,0,2,3,3,2,14,1,0
0.7380335845724091,5797.6618,29,0,0,1,2,3,5,1,1
0.6987690873936454,7119.150599999999,1,1,1,3,0,0,1,0,1
0.9282286808123459,9472.793,12,2,0,5,0,2,92,0,0
0.7454998387554566,7643.246000000001,13,2,0,1,3,3,28,1,0
0.8991009157276096,8595.3716,8,2,0,5,1,3,11,1,0
0.8574306270461133,6152.6410000000005,20,0,0,4,2,0,2,0,1
0.4039906722264129,5644.5316,29,1,2,5,3,2,8,1,1
0.46483944261503585,6291.8372,11,2,2,3,1,1,129,0,1
0.6384228494350094,9721.8578,40,1,1,3,1,2,1,1,0
0.822032991622527,6528.020399999999,30,0,1,3,1,2,152,0,1
0.9443000548438732,8857.0906,4,0,0,4,1,3,233,1,0
0.5739699350065007,7775.6356,16,0,1,5,3,1,8,0,0
0.4630975003759518,7994.155400000001,31,2,2,1,3,2,22,1,0
0.6832620228141227,9546.6964,33,1,2,4,0,3,28,0,0
0.7380335845724036,5812.6286,13,0,0,1,1,3,193,0,1
0.6204432616005537,9367.463399999999,25,2,1,4,0,3,2,0,0
0.6987690873936454,7049.613399999999,9,1,1,1,1,0,34,0,1
0.32667589390318497,5596.5138,19,1,2,2,3,2,25,1,1
0.4523830952121347,5599.6804,37,1,2,5,3,1,7,1,1
