accuracy,perf,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8930527985103224,1822.2854,29,2,2,3,0,1
0.8271894170593971,1640.6239999999998,35,1,1,7,2,1
0.6972606389072975,1188.7856,2,2,1,1,1,3
0.8202469576544031,1616.9779999999998,1,4,2,4,1,2
0.7555240000395127,1375.6308000000001,60,3,3,8,2,3
0.8073007359253053,1569.0886,92,2,2,2,1,2
0.7986886482330344,1512.6378,27,1,2,8,2,2
0.936746927670551,1905.9188000000001,10,4,2,2,1,0
0.7555240000395127,1418.538,65,3,3,8,2,3
0.7935455015619561,1502.826,61,3,2,8,2,2
0.7724037925591645,1458.856,60,3,3,9,2,3
0.7555240000395127,1422.5511999999999,48,3,3,8,2,3
0.7414120921966703,1375.567,4,3,3,7,2,3
0.7918456314217027,1489.8799999999999,60,3,3,8,2,2
0.6861911553426506,1115.283,60,3,3,1,2,3
0.7555240000395127,1422.273,24,3,3,8,2,3
0.7526837492115288,1429.8684,90,1,3,7,2,3
0.7662148246515681,1601.4952,4,3,3,7,1,3
0.8089146818672264,1598.9245999999998,66,3,3,7,2,1
0.8159696418177917,1629.1745999999998,4,3,3,7,2,0
0.7508038349589685,1577.9624,29,3,4,4,3,0
0.8132765689219145,1769.1758000000002,1,4,2,2,3,0
0.7879161547880829,1726.3352,2,4,1,3,3,0
0.6995016879472419,1321.4905999999999,3,3,4,3,0,3
0.6996479958657904,1213.7638,4,3,3,3,2,3
0.744930204490954,1386.9382,4,3,2,7,2,3
0.8089146818672264,1597.7561999999998,4,3,3,7,2,1
0.8159696418177917,1618.1619999999998,4,3,3,7,2,0
0.9773495970695854,1916.4705999999999,2,4,2,8,0,0
0.8005825564449258,1547.988,1,1,4,2,1,2
0.6816321535873358,1064.5980000000002,50,3,3,3,3,3
0.6802387933148619,1063.0957999999998,1,4,4,8,3,3
0.7289444804738172,1338.042,4,3,3,6,2,3
0.7395827807475153,1372.5025999999998,4,3,4,7,2,3
0.744930204490954,1394.2302,4,3,2,7,2,3
0.7662148246515681,1594.2197999999999,4,3,3,7,1,3
0.7289444804738172,1351.0392000000002,3,3,3,6,2,3
0.7414120921966703,1383.381,4,3,3,7,2,3
0.7179067645340884,1288.9696,5,2,3,5,2,3
0.7271901693952307,1324.5988,4,3,4,6,2,3
0.7289444804738172,1345.3432,5,2,3,6,2,3
0.7179067645340884,1297.3578000000002,9,2,3,5,2,3
0.7162160443432155,1283.9524,5,2,4,5,2,3
0.7323121288067803,1351.0214,5,2,2,6,2,3
0.7179067645340884,1287.1593999999998,5,2,3,5,2,3
0.6980662405092999,1205.1062,5,2,4,3,2,3
0.7162160443432155,1289.75,6,2,4,5,2,3
0.7271901693952307,1353.4587999999999,5,2,4,6,2,3
0.7272677953682736,1469.271,5,2,4,5,1,3
0.7162160443432155,1302.7198,1,2,4,5,2,3
0.7065130552491303,1261.3154,3,2,4,4,2,3
0.7271901693952307,1408.5254,9,1,4,6,2,3
0.7065130552491303,1293.5095999999999,1,2,4,4,2,3
0.7065130552491303,1278.2906,6,1,4,4,2,3
0.7065130552491303,1264.0783999999999,2,2,4,4,2,3
0.7162160443432155,1314.8573999999999,5,2,4,5,2,3
0.789599938952432,1500.1756,3,2,4,4,2,2
0.7065130552491303,1252.6504,3,3,4,4,2,3
0.7065130552491303,1257.7038,5,2,4,4,2,3
0.7271901693952307,1369.7104,3,2,4,6,2,3
0.7129098597946883,1423.4154,3,3,4,4,1,3
0.7162160443432155,1317.0259999999998,3,3,4,5,2,3
0.7065130552491303,1265.2472,2,3,4,4,2,3
0.7271901693952307,1343.7092,3,3,4,6,2,3
0.7271901693952307,1342.6016,3,3,4,6,2,3
0.7081465282716664,1255.456,3,4,3,4,2,3
0.6980662405092999,1200.4536,3,3,4,3,2,3
0.789599938952432,1494.8024,3,2,4,4,2,2
0.6906874664375664,1154.054,2,3,4,2,2,3
0.7065130552491303,1245.2174,2,3,4,4,2,3
0.7129098597946883,1370.9263999999998,2,3,4,4,1,3
0.7065130552491303,1238.3964,5,3,4,4,2,3
