accuracy,perf,update_node_rank_threshold_0,update_node_rank_decision_0,update_node_rank_decision_1,pagerank_worker_impl_threshold_0,pagerank_worker_impl_decision_0,pagerank_worker_impl_decision_1
0.9999901363256001,1.8697139999999997,31,1,0,4,1,2
0.6307451288515,1.1787282000000001,27,0,1,5,2,0
0.6307449092465001,0.8922612000000001,50,1,0,3,2,2
0.6307448898545001,2.3124344,16,0,1,5,0,0
0.5715322795825,1.6184312000000003,6,2,2,5,0,2
0.630744905363,2.526953,25,0,1,1,0,0
0.8842410094121,1.0363327999999998,34,2,0,1,0,2
0.8905777959274002,1.11814,29,2,0,4,2,2
0.8812142095537,1.093851,32,2,0,1,0,2
0.8529381019605999,1.0701982,33,2,0,1,0,2
0.8340915839949,1.7044349999999997,31,2,0,1,0,1
0.8813624156618,0.9621395999999999,40,2,0,1,0,2
0.8650532285289,0.9913902,37,2,0,1,0,2
0.8314945986579001,1.0283466,38,2,0,1,0,2
0.8636083666418001,0.9319208,42,2,0,1,0,2
0.8959251765463001,1.0285858,35,2,0,1,0,2
0.9999975085102999,1.5502992,42,0,0,3,2,0
0.9999967272978999,1.5779456,47,0,0,1,2,2
0.6308142105805,3.0931642000000004,46,0,1,3,0,2
0.999995145239,3.1056284,5,1,0,2,0,2
0.98533060172,2.1052524,37,2,0,2,0,2
0.8791335785298999,1.1154385999999998,31,2,0,1,0,2
0.5956640147097,0.8547208000000002,46,2,1,1,1,2
0.6594800572885999,1.3279608,46,2,0,1,0,1
0.5715322795825,1.6416892,45,2,2,3,0,2
0.6229750528526,1.3307682,24,2,1,4,1,1
0.9999965651641001,2.3044862000000004,30,0,0,5,1,2
0.9999952563493,1.2970086,16,1,0,4,2,1
0.6307449099350999,0.9180478000000001,36,1,1,1,1,2
0.5715322795825,1.6647901999999999,30,2,2,4,0,1
0.5589267646573999,1.3304008,32,1,2,3,1,1
0.5591861693349001,1.158644,27,0,2,1,1,2
0.6315183850511,1.5684723999999999,41,0,1,4,2,2
0.9999963008359,2.8011916,13,0,0,2,1,0
0.6284337619586999,1.4807784,20,2,1,5,1,0
0.9999953505564999,3.2638516,2,1,0,1,2,0
0.6307449687158999,1.1834262,16,0,1,4,2,1
0.9999940496239998,2.9862804,16,1,0,5,0,1
0.9999940496239998,3.0990359999999995,16,1,0,4,0,1
0.9999949709769,2.028772,16,1,0,2,1,2
0.9999958241026,1.3848028,16,1,0,5,2,1
0.9999950540113,1.4120344,18,1,0,4,2,1
0.9999956064999,1.3749432,16,1,0,5,2,1
0.9999949353603,1.511923,16,1,0,3,2,1
0.9999953545471,1.5071711999999997,13,1,0,4,2,1
0.5710682104574001,0.8075118,38,2,2,1,2,2
0.570925690415,0.833422,3,1,2,5,2,2
0.9999949425814,2.2046244,7,1,0,3,1,1
0.5715322795825,1.75443,31,2,2,2,0,1
0.5645069911867999,1.4170838,44,2,1,5,1,2
0.9999954613745,3.1370242,22,0,0,1,2,0
0.6322480859777,2.4229242,32,0,1,3,1,1
0.5661172111713,1.3358634,24,2,2,2,1,0
0.9999956040822001,2.3745819999999997,11,1,0,3,1,1
0.9999950427633,2.2858080000000003,17,1,0,3,1,1
0.9999954714126001,2.3647552000000003,13,1,0,3,1,1
0.999995145239,3.4960796000000003,5,1,0,3,0,1
0.9966043770448,2.1892202000000003,7,2,0,3,1,1
0.9999942258579001,2.3831496000000003,7,1,0,3,1,0
0.9999961255313,2.5213872000000004,7,0,0,3,1,1
0.9962722939982,2.4949132,7,2,0,3,1,1
0.9999943070063999,2.6335026000000004,7,1,0,3,1,1
0.9968042205685,2.3995526000000007,7,2,0,5,1,1
0.9962755195629999,2.3056874,7,2,0,5,1,1
0.6306978568657999,1.4727508000000002,7,2,1,3,1,1
0.628774893711,1.9108162,30,2,1,2,0,2
0.5699532166985,0.8733126,27,2,2,4,2,2
0.9396684398208001,1.1501914,25,2,0,4,2,1
0.6307452473077999,1.2675139999999998,29,0,1,4,2,2
0.5675855046322,1.1541970000000001,29,2,2,1,1,1
0.5673875324971001,1.1910486,8,2,2,1,1,1
